Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
ENVX,7.45,-0.65,17.15,1.6,Industrials,Electrical Equipment & Parts,16.22,61.2,Bull,0.08,16.42,0.07,60.1,4.42
DCH,6.72,-2.39,14.96,1.6,Consumer Cyclical,Auto Parts,8.78,58.3,Bull,0.06,20.09,0.05,59.9,3.91
PRKS,39.08,-1.36,12.69,1.8,Consumer Cyclical,Leisure,9.87,61.6,Bull,0.32,19.84,0.02,59.9,4.0
ILMN,153.0,1.88,7.81,23.1,Healthcare,Diagnostics & Research,12.38,71.9,Bull,0.57,27.11,0.05,59.8,3.75
MAAS,11.72,-0.17,15.01,5.2,Financial Services,Asset Management,32.66,66.6,Bull,0.11,14.45,0.02,59.6,
HGV,51.53,0.29,5.66,4.1,Consumer Cyclical,Resorts & Casinos,11.35,66.4,Bull,0.48,18.73,0.03,59.6,3.5
JOYY,66.23,1.19,16.44,3.3,Communication Services,Internet Content & Information,11.63,68.7,Bull,0.92,15.75,0.34,59.4,4.71
H,186.3,1.72,7.57,17.5,Consumer Cyclical,Lodging,12.69,70.2,Bull,1.48,17.24,0.1,59.4,4.0
TEO,14.02,0.25,19.79,6.0,Communication Services,Telecom Services,17.1,71.5,Bull,0.22,14.88,0.12,59.4,3.6
ALGT,89.21,-1.97,15.72,2.4,Industrials,Airlines,8.5,59.5,Bull,1.79,19.73,0.03,59.2,3.82
EVEX,3.3,1.54,15.79,1.1,Industrials,Aerospace & Defense,9.99,62.0,Bull,0.02,18.71,0.05,59.1,4.12
BHVN,10.82,-4.16,22.26,1.6,Healthcare,Biotechnology,10.59,61.1,Bull,0.23,17.61,0.13,59.0,4.26
SHOO,43.51,0.08,7.5,3.2,Consumer Cyclical,Footwear & Accessories,12.28,70.0,Bull,0.42,17.7,0.02,59.0,
ALK,45.4,-1.24,13.93,5.1,Industrials,Airlines,10.08,64.8,Bull,0.9,18.51,0.04,58.9,4.5
VIK,91.69,-0.93,10.31,40.9,Consumer Cyclical,Travel Services,13.22,64.4,Bull,0.69,16.74,0.05,58.8,4.47
THRM,34.59,-0.35,10.87,1.1,Consumer Cyclical,Auto Parts,12.04,70.7,Bull,0.41,17.33,0.02,58.5,4.25
COHU,53.58,-2.48,19.11,2.5,Technology,Semiconductor Equipment & Materials,25.74,66.1,Bull,0.21,19.83,0.13,58.2,
EL,89.99,-1.33,15.08,32.6,Consumer Defensive,Household & Personal Products,7.99,62.6,Bull,1.0,18.89,0.04,58.2,3.6
ICUI,136.8,-1.11,5.79,3.4,Healthcare,Medical Instruments & Supplies,6.43,65.2,Bull,1.97,18.49,0.16,58.0,
KNX,73.1,-1.46,2.95,11.9,Industrials,Trucking,14.0,66.7,Bull,0.72,15.36,0.07,58.0,4.39
IBM,262.49,2.86,16.66,246.7,Technology,Information Technology Services,9.28,69.7,Bull,5.0,16.43,0.2,57.7,4.1
LEA,144.9,-0.58,8.69,7.3,Consumer Cyclical,Auto Parts,10.9,65.4,Bull,0.81,17.01,0.02,57.6,3.62
GGAL,48.79,1.27,16.11,8.3,Financial Services,Banks - Regional,10.68,65.4,Bull,0.9,16.41,0.08,57.4,4.0
SVC,1.77,1.43,0.28,1.1,Real Estate,REIT - Hotel & Motel,6.44,60.7,Bull,0.02,18.33,0.03,56.8,
ITRN,63.76,-0.16,11.56,1.3,Technology,Scientific & Technical Instruments,14.38,72.2,Bull,0.3,15.08,0.14,56.6,
VSCO,57.86,1.19,21.27,4.6,Consumer Cyclical,Apparel Retail,14.13,68.7,Bull,1.3,13.72,0.07,56.4,4.2
BIO,313.57,2.71,8.93,8.4,Healthcare,Medical Devices,12.73,72.1,Bull,6.54,13.96,0.08,56.0,3.2
ADNT,24.02,0.0,16.6,1.9,Consumer Cyclical,Auto Parts,11.21,64.2,Bull,0.27,14.76,0.02,55.5,4.0
COLD,15.24,-0.59,5.76,4.4,Real Estate,REIT - Industrial,14.84,66.5,Bull,0.04,27.0,0.02,55.2,3.44
VEON,56.91,-1.09,3.27,3.9,Communication Services,Telecom Services,7.94,62.4,Bull,0.46,15.93,0.01,55.0,5.0
ALV,128.4,-0.83,8.94,9.6,Consumer Cyclical,Auto Parts,10.24,68.3,Bull,0.99,14.17,0.07,54.9,
RLAY,14.23,-1.38,9.3,3.1,Healthcare,Biotechnology,11.41,59.0,Bull,0.16,13.21,0.03,54.2,4.85
LUV,42.85,-1.9,7.93,20.9,Industrials,Airlines,5.48,60.5,Bull,0.5,15.13,0.07,53.5,3.48
CRS,460.49,-0.09,9.12,22.9,Industrials,Metal Fabrication,9.71,61.8,Bull,3.24,13.27,0.03,53.3,4.67
DFTX,22.67,-3.64,8.6,2.5,Healthcare,Biotechnology,7.96,55.3,Bull,0.12,10.61,0.43,53.1,4.75
CMC,75.32,-1.64,5.96,8.4,Industrials,Metal Fabrication,8.42,63.2,Bull,0.39,12.98,0.1,53.0,4.17
CRI,40.38,2.59,9.55,1.5,Consumer Cyclical,Apparel Retail,12.4,67.1,Bull,0.67,11.5,0.03,53.0,
WSM,204.49,0.64,13.45,24.1,Consumer Cyclical,Specialty Retail,9.4,68.6,Bull,3.67,12.87,0.04,52.9,3.73
AERO,16.99,-0.03,12.11,2.5,Industrials,Airlines,7.64,64.6,Bull,0.2,13.54,0.01,52.5,
ADTN,17.7,-8.76,22.32,1.4,Technology,Communication Equipment,19.1,59.2,Bull,0.23,5.42,0.25,52.1,4.44
NWPX,122.41,0.51,11.76,1.2,Basic Materials,Steel,25.91,76.4,Bull,0.2,42.32,0.05,52.0,
PENN,19.09,0.0,18.06,2.6,Consumer Cyclical,Resorts & Casinos,18.3,73.0,Bull,0.23,7.13,0.08,51.9,3.85
DECK,113.16,-1.06,15.19,15.7,Consumer Cyclical,Footwear & Accessories,9.35,66.2,Bull,2.23,11.67,0.05,51.7,3.58
DRVN,14.32,0.7,10.24,2.4,Consumer Cyclical,Auto & Truck Dealerships,8.26,60.0,Bull,0.09,12.4,0.02,51.7,4.0
NYAX,75.0,0.93,12.26,2.8,Technology,Software - Infrastructure,15.07,66.5,Bull,0.35,10.67,0.09,51.2,4.2
HMC,27.08,0.73,4.66,35.1,Consumer Cyclical,Auto Manufacturers,5.74,66.9,Bull,0.26,12.81,0.06,51.1,3.67
GPK,10.86,0.42,10.42,3.2,Consumer Cyclical,Packaging & Containers,5.4,61.7,Bull,0.09,13.18,0.02,51.0,2.9
SARO,27.76,0.96,4.89,9.2,Industrials,Aerospace & Defense,4.62,60.9,Bull,0.25,13.6,0.01,51.0,4.57
HST,23.26,-0.92,4.33,16.1,Real Estate,REIT - Hotel & Motel,10.53,72.1,Bull,0.12,10.47,0.03,50.8,4.1
ARRY,8.97,-0.66,8.6,1.4,Technology,Solar,9.33,59.8,Bull,0.03,19.92,0.04,49.6,4.0
JHX,22.44,-1.45,8.98,13.0,Basic Materials,Building Materials,7.49,60.0,Bull,0.29,10.16,0.07,49.5,4.86
FINV,5.3,-3.55,11.22,1.3,Financial Services,Credit Services,7.45,58.4,Bull,0.03,9.38,0.17,49.5,
AVTR,8.73,3.97,10.83,6.0,Healthcare,Medical Instruments & Supplies,5.74,65.1,Bull,0.08,11.25,0.03,49.4,3.19
PTON,5.93,-0.92,14.6,2.6,Consumer Cyclical,Leisure,15.09,66.6,Bull,0.04,6.37,0.06,49.4,3.81
HCC,97.74,0.79,15.45,5.2,Basic Materials,Coking Coal,10.73,67.9,Bull,1.35,8.66,0.02,49.2,4.14
LOMA,11.96,0.84,10.74,1.4,Basic Materials,Building Materials,7.89,60.4,Bull,0.13,10.13,0.01,49.1,4.6
MAR,385.46,-0.1,4.46,101.6,Consumer Cyclical,Lodging,8.86,71.8,Bull,2.89,9.12,0.05,49.0,3.77
AVAL,4.72,-0.95,11.47,5.6,Financial Services,Banks - Regional,7.44,59.5,Bull,0.05,9.23,0.09,48.7,2.5
